Spacecraft,Vehicle,Launch,Return,Mission Number,Status,Earth Orbit,Lunar Orbit,Station Visited,Destination
Vostok 1,Vostok-K,"21 Apr, 1961 6:07","21 Apr, 1961 7:55",1,Returned,TRUE,FALSE,,Earth Orbit
Mercury-Redstone 3,Mercury-Redstone Launch Vehicle,"5 May, 1961 14:34","5 May, 1961 14:49",2,Returned,FALSE,FALSE,,Non-orbital space
Mercury-Redstone 4,Mercury-Redstone Launch Vehicle,"21 Jul, 1961 12:20","21 Jul, 1961 12:36",3,Returned,FALSE,FALSE,,Non-orbital space
Vostok 2,Vostok-K,"6 Aug, 1961 6:00","7 Aug, 1961 7:18",4,Returned,TRUE,FALSE,,Earth Orbit
Mercury-Atlas 6,Atlas LV-3B,"20 Feb, 1962 14:47","20 Feb, 1962 19:43",5,Returned,TRUE,FALSE,,Earth Orbit
Mercury-Atlas 7,Atlas LV-3B,"24 May, 1962 12:45","24 May, 1962 17:41",6,Returned,TRUE,FALSE,,Earth Orbit
Vostok 3,Vostok-K,"11 Aug, 1962 8:24","15 Aug, 1962 6:52",7,Returned,TRUE,FALSE,,Earth Orbit
Vostok 4,Vostok-K,"12 Aug, 1962 8:02","15 Aug, 1962 6:59",8,Returned,TRUE,FALSE,,Earth Orbit
Mercury-Atlas 8,Atlas LV-3B,"3 Oct, 1962 12:15","3 Oct, 1962 21:28",9,Returned,TRUE,FALSE,,Earth Orbit
Mercury-Atlas 9,Atlas LV-3B,"15 May, 1963 13:04","16 May, 1963 23:24",10,Returned,TRUE,FALSE,,Earth Orbit
Vostok 5,Vostok-K,"14 Jun, 1963 11:58","19 Jun, 1963 11:06",11,Returned,TRUE,FALSE,,Earth Orbit
Vostok 6,Vostok-K,"16 Jun, 1963 9:29","19 Jun, 1963 8:20",12,Returned,TRUE,FALSE,,Earth Orbit
"X-15, Flight 90",X-15,"19 Jul, 1963 18:20","19 Jul, 1963 18:31",13,Returned,FALSE,FALSE,,Non-orbital space
"X-15, Flight 91",X-15,"22 Aug, 1963 18:05","22 Aug, 1963 18:17",14,Returned,FALSE,FALSE,,Non-orbital space
Voskhod 1,Voskhod,"12 Oct, 1964 7:30","13 Oct, 1964 7:47",15,Returned,TRUE,FALSE,,Earth Orbit
Voskhod 2,Voskhod,"18 Mar, 1965 7:00","19 Mar, 1965 9:02",16,Returned,TRUE,FALSE,,Earth Orbit
Gemini 3,Titan II GLV,"23 Mar, 1965 14:24","23 Mar, 1965 19:17",17,Returned,TRUE,FALSE,,Earth Orbit
Gemini 4,Titan II GLV,"3 Jun, 1965 15:16","7 Jun, 1965 17:12",18,Returned,TRUE,FALSE,,Earth Orbit
Gemini 5,Titan II GLV,"21 Aug, 1965 14:00","29 Aug, 1965 12:55",19,Returned,TRUE,FALSE,,Earth Orbit
Gemini 7,Titan II GLV,"4 Dec, 1965 19:30","18 Dec, 1965 14:05",20,Returned,TRUE,FALSE,,Earth Orbit
Gemini 6,Titan II GLV,"15 Dec, 1965 13:37","16 Dec, 1965 15:28",21,Returned,TRUE,FALSE,,Earth Orbit
Gemini 8,Titan II GLV,"16 Mar, 1966 16:41","17 Mar, 1966 3:22",22,Returned,TRUE,FALSE,,Earth Orbit
Gemini 9,Titan II GLV,"3 Jun, 1966 13:39","6 Jun, 1966 14:00",23,Returned,TRUE,FALSE,,Earth Orbit
Gemini 10,Titan II GLV,"18 Jul, 1966 22:20","21 Jul, 1966 21:07",24,Returned,TRUE,FALSE,,Earth Orbit
Gemini 11,Titan II GLV,"12 Sep, 1966 14:42","15 Sep, 1966 13:59",25,Returned,TRUE,FALSE,,Earth Orbit
Gemini 12,Titan II GLV,"11 Nov, 1966 20:46","15 Nov, 1966 19:21",26,Returned,TRUE,FALSE,,Earth Orbit
Soyuz 1,Soyuz,"23 Apr, 1967 0:35","24 Apr, 1967 3:22",27,Fail-to-land,TRUE,FALSE,,Earth Orbit
Apollo 7,Saturn IB,"11 Oct, 1968 15:02","22 Oct, 1968 11:11",28,Returned,TRUE,FALSE,,Earth Orbit
Soyuz 3,Soyuz-U,"26 Oct, 1968 8:34","30 Oct, 1968 7:25",29,Returned,TRUE,FALSE,,Earth Orbit
Apollo 8,Saturn V,"21 Dec, 1968 12:51","27 Dec, 1968 15:52",30,Returned,TRUE,TRUE,,Moon
Soyuz 4,Soyuz,"14 Jan, 1969 7:30","17 Jan, 1969 6:51",31,Returned,TRUE,FALSE,,Earth Orbit
Soyuz 5,Soyuz,"15 Jan, 1969 7:04","18 Jan, 1969 7:58",32,Returned,TRUE,FALSE,,Earth Orbit
Apollo 9,Saturn V,"3 Mar, 1969 16:00","13 Mar, 1969 17:01",33,Returned,TRUE,FALSE,,Earth Orbit
Apollo 10,Saturn V,"18 May, 1969 16:49","26 May, 1969 16:52",34,Returned,TRUE,TRUE,,Moon
Apollo 11,Saturn V,"16 Jul, 1969 13:32","24 Jul, 1969 16:51",35,Returned,TRUE,TRUE,,Moon
Soyuz 6,Soyuz,"11 Oct, 1969 11:10","16 Oct, 1969 9:53",36,Returned,TRUE,FALSE,,Earth Orbit
Soyuz 7,Soyuz,"12 Oct, 1969 10:44","17 Oct, 1969 9:24",37,Returned,TRUE,FALSE,,Earth Orbit
Soyuz 8,Soyuz,"13 Oct, 1969 10:19","18 Oct, 1969 9:10",38,Returned,TRUE,FALSE,,Earth Orbit
Apollo 12,Saturn V,"14 Nov, 1969 16:22","24 Nov, 1969 20:58",39,Returned,TRUE,TRUE,,Moon
Apollo 13,Saturn V,"11 Apr, 1970 19:13","17 Apr, 1970 18:08",40,Returned,TRUE,TRUE,,Moon
Soyuz 9,Soyuz,"1 Jun, 1970 19:00","19 Jun, 1970 11:59",41,Returned,TRUE,FALSE,,Earth Orbit
Apollo 14,Saturn V,"31 Jan, 1971 21:03","9 Feb, 1971 21:05",42,Returned,TRUE,TRUE,,Moon
Soyuz 10,Soyuz,"22 Apr, 1971 23:54","24 Apr, 1971 23:40",43,Returned,TRUE,FALSE,Salyut 1,Other Space station
Soyuz 11,Soyuz,"6 Jun, 1971 4:55","29 Jun, 1971 23:16",44,Fail-to-land,TRUE,FALSE,Salyut 1,Other Space station
Apollo 15,Saturn V,"26 Jul, 1971 13:34","7 Aug, 1971 20:46",45,Returned,TRUE,TRUE,,Moon
Apollo 16,Saturn V,"16 Apr, 1972 17:54","27 Apr, 1972 19:45",46,Returned,TRUE,TRUE,,Moon
Apollo 17,Saturn V,"7 Dec, 1972 5:33","19 Dec, 1972 19:25",47,Returned,TRUE,TRUE,,Moon
Skylab 2,Saturn IB,"25 May, 1973 13:00","22 Jun, 1973 13:50",48,Returned,TRUE,FALSE,Skylab,Other Space station
Skylab 3,Saturn IB,"28 Jul, 1973 11:10","25 Sep, 1973 22:20",49,Returned,TRUE,FALSE,Skylab,Other Space station
Soyuz 12,Soyuz,"27 Sep, 1973 12:18","29 Sep, 1973 11:33",50,Returned,TRUE,FALSE,,Earth Orbit
Skylab 4,Saturn IB,"16 Nov, 1973 14:01","8 Feb, 1974 15:16",51,Returned,TRUE,FALSE,Skylab,Other Space station
Soyuz 13,Soyuz,"18 Dec, 1973 11:55","26 Dec, 1973 8:51",52,Returned,TRUE,FALSE,,Earth Orbit
Soyuz 14,Soyuz,"3 Jul, 1974 18:51","19 Jul, 1974 12:21",53,Returned,TRUE,FALSE,Salyut 3,Other Space station
Soyuz 15,Soyuz,"26 Aug, 1974 10:08","28 Aug, 1974 10:20",54,Returned,TRUE,FALSE,,Earth Orbit
Soyuz 16,Soyuz-U,"2 Dec, 1974 15:00","8 Dec, 1974 13:24",55,Returned,TRUE,FALSE,,Earth Orbit
Soyuz 17,Soyuz,"10 Jan, 1975 21:43","9 Feb, 1975 11:03",56,Returned,TRUE,FALSE,Salyut 4,Other Space station
Soyuz 18A,Soyuz,"5 Apr, 1975 14:58","5 Apr, 1975 15:19",57,Returned,FALSE,FALSE,,Non-orbital space
Soyuz 18B,Soyuz,"24 May, 1975 14:58","26 Jul, 1975 14:18",58,Returned,TRUE,FALSE,Salyut 4,Other Space station
Apollo 18-ASTP,Saturn IB,"15 Jul, 1975 12:20","24 Jul, 1975 13:48",60,Returned,TRUE,FALSE,,Earth Orbit
Soyuz 19-ASTP,Soyuz-U,"15 Jul, 1975 14:58","21 Jul, 1975 13:29",59,Returned,TRUE,FALSE,,Earth Orbit
Soyuz 21,Soyuz,"6 Jul, 1976 12:08","24 Aug, 1976 18:32",61,Returned,TRUE,FALSE,Salyut 5,Other Space station
Soyuz 22,Soyuz,"15 Sep, 1976 9:48","23 Sep, 1976 7:40",62,Returned,TRUE,FALSE,,Earth Orbit
Soyuz 23,Soyuz,"14 Oct, 1976 17:39","16 Oct, 1976 17:46",63,Returned,TRUE,FALSE,,Earth Orbit
Soyuz 24,Soyuz-U,"7 Feb, 1977 16:11","25 Feb, 1977 9:38",64,Returned,TRUE,FALSE,Salyut 5,Other Space station
Soyuz 25,Soyuz-U,"9 Oct, 1977 2:40","11 Oct, 1977 3:25",65,Returned,TRUE,FALSE,,Earth Orbit
Soyuz 26,Soyuz-U,"10 Dec, 1977 1:18","16 Jan, 1978 11:24",66,Returned,TRUE,FALSE,Salyut 6,Other Space station
Soyuz 27,Soyuz-U,"10 Jan, 1978 12:26","16 Mar, 1978 11:19",67,Returned,TRUE,FALSE,Salyut 6,Other Space station
Soyuz 28,Soyuz-U,"2 Mar, 1978 15:28","10 Mar, 1978 13:44",68,Returned,TRUE,FALSE,Salyut 6,Other Space station
Soyuz 29,Soyuz-U,"15 Jun, 1978 20:16","3 Sep, 1978 11:40",69,Returned,TRUE,FALSE,Salyut 6,Other Space station
Soyuz 30,Soyuz-U,"27 Jun, 1978 15:27","5 Jul, 1978 13:30",70,Returned,TRUE,FALSE,Salyut 6,Other Space station
Soyuz 31,Soyuz-U,"26 Aug, 1978 14:51","2 Nov, 1978 11:04",71,Returned,TRUE,FALSE,Salyut 6,Other Space station
Soyuz 32,Soyuz-U,"25 Feb, 1979 11:53","13 Jun, 1979 16:18",72,Returned,TRUE,FALSE,Salyut 6,Other Space station
Soyuz 33,Soyuz-U,"10 Apr, 1979 17:34","12 Apr, 1979 16:35",73,Returned,TRUE,FALSE,,Earth Orbit
Soyuz 34,Soyuz-U,"6 Jun, 1979 18:12","19 Aug, 1979 12:29",74,Returned,TRUE,FALSE,Salyut 6,Other Space station
Soyuz 35,Soyuz-U,"10 Apr, 1980 1:16","4 Jun, 1980 2:44",75,Returned,TRUE,FALSE,Salyut 6,Other Space station
Soyuz 36,Soyuz-U,"26 May, 1980 18:20","31 Jul, 1980 15:14",76,Returned,TRUE,FALSE,Salyut 6,Other Space station
Soyuz T-2,Soyuz-U,"5 Jun, 1980 14:19","9 Jun, 1980 12:39",77,Returned,TRUE,FALSE,Salyut 6,Other Space station
Soyuz 37,Soyuz-U,"23 Jul, 1980 18:33","11 Oct, 1980 9:50",78,Returned,TRUE,FALSE,Salyut 6,Other Space station
Soyuz 38,Soyuz-U,"18 Sep, 1980 19:11","26 Sep, 1980 15:54",79,Returned,TRUE,FALSE,Salyut 6,Other Space station
Soyuz T-3,Soyuz-U,"27 Nov, 1980 14:18","10 Dec, 1980 9:26",80,Returned,TRUE,FALSE,Salyut 6,Other Space station
Soyuz T-4,Soyuz-U,"12 Mar, 1981 19:00","26 May, 1981 12:37",81,Returned,TRUE,FALSE,Salyut 6,Other Space station
Soyuz 39,Soyuz-U,"22 Mar, 1981 14:58","30 Mar, 1981 11:40",82,Returned,TRUE,FALSE,Salyut 6,Other Space station
"STS-1, Columbia",Space Shuttle,"12 Apr, 1981 12:00","14 Apr, 1981 18:22",83,Returned,TRUE,FALSE,,Earth Orbit
Soyuz 40,Soyuz-U,"14 May, 1981 17:16","22 May, 1981 14:58",84,Returned,TRUE,FALSE,Salyut 6,Other Space station
