Crew Mission Name,Name,EVA Number,Start Date,End Date,Duration,Moonwalk,Stand Up Only,Deep Space,Traveler launch date,Launching spacecraft,Destination
Voskhod 2,Alexei Leonov,1,"18 Mar, 1965","18 Mar, 1965",0:12:09,FALSE,FALSE,FALSE,18/03/1965,Voskhod 2,Earth Orbit
Gemini 4,Ed White,2,"3 Jun, 1965","3 Jun, 1965",0:20:00,FALSE,FALSE,FALSE,3/06/1965,Gemini 4,Earth Orbit
Gemini 9,Gene Cernan,3,"5 Jun, 1966","5 Jun, 1966",2:07:00,FALSE,FALSE,FALSE,3/06/1966,Gemini 9,Earth Orbit
Gemini 10,Michael Collins,4,"19 Jul, 1966","19 Jul, 1966",0:49:00,FALSE,FALSE,FALSE,18/07/1966,Gemini 10,Earth Orbit
Gemini 10,Michael Collins,5,"20 Jul, 1966","20 Jul, 1966",0:39:00,FALSE,FALSE,FALSE,18/07/1966,Gemini 10,Earth Orbit
Gemini 11,Richard Gordon,6,"13 Sep, 1966","13 Sep, 1966",0:33:00,FALSE,FALSE,FALSE,12/09/1966,Gemini 11,Earth Orbit
Gemini 11,Richard Gordon,7,"14 Sep, 1966","14 Sep, 1966",2:08:00,FALSE,FALSE,FALSE,12/09/1966,Gemini 11,Earth Orbit
Gemini 12,Buzz Aldrin,8,"12 Nov, 1966","12 Nov, 1966",2:29:00,FALSE,FALSE,FALSE,11/11/1966,Gemini 12,Earth Orbit
Gemini 12,Buzz Aldrin,9,"13 Nov, 1966","13 Nov, 1966",2:06:00,FALSE,FALSE,FALSE,11/11/1966,Gemini 12,Earth Orbit
Gemini 12,Buzz Aldrin,10,"14 Nov, 1966","14 Nov, 1966",0:55:00,FALSE,FALSE,FALSE,11/11/1966,Gemini 12,Earth Orbit
Soyuz 4/5,Yevgeny Khrunov,11,"16 Jan, 1969","16 Jan, 1969",0:32:00,FALSE,FALSE,FALSE,15/01/1969,Soyuz 5,Earth Orbit
Soyuz 4/5,Aleksei Yeliseyev,11,"16 Jan, 1969","16 Jan, 1969",0:32:00,FALSE,FALSE,FALSE,15/01/1969,Soyuz 5,Earth Orbit
Apollo 9,Rusty Schweickart,12,"6 Mar, 1969","6 Mar, 1969",1:17:00,FALSE,FALSE,FALSE,3/03/1969,Apollo 9,Earth Orbit
Apollo 9,David Scott,12,"6 Mar, 1969","6 Mar, 1969",1:17:00,FALSE,TRUE,FALSE,3/03/1969,Apollo 9,Earth Orbit
Apollo 11,Neil Armstrong,13,"21 Jul, 1969","21 Jul, 1969",2:31:40,TRUE,FALSE,FALSE,16/07/1969,Apollo 11,Moon
Apollo 11,Buzz Aldrin,13,"21 Jul, 1969","21 Jul, 1969",2:31:40,TRUE,FALSE,FALSE,16/07/1969,Apollo 11,Moon
Apollo 12,Pete Conrad,14,"19 Nov, 1969","19 Nov, 1969",3:56:03,TRUE,FALSE,FALSE,14/11/1969,Apollo 12,Moon
Apollo 12,Alan Bean,14,"19 Nov, 1969","19 Nov, 1969",3:56:03,TRUE,FALSE,FALSE,14/11/1969,Apollo 12,Moon
Apollo 12,Pete Conrad,15,"20 Nov, 1969","20 Nov, 1969",3:49:15,TRUE,FALSE,FALSE,14/11/1969,Apollo 12,Moon
Apollo 12,Alan Bean,15,"20 Nov, 1969","20 Nov, 1969",3:49:15,TRUE,FALSE,FALSE,14/11/1969,Apollo 12,Moon
Apollo 14,Alan Shepard,16,"5 Feb, 1971","5 Feb, 1971",4:47:50,TRUE,FALSE,FALSE,31/01/1971,Apollo 14,Moon
Apollo 14,Edgar Mitchell,16,"5 Feb, 1971","5 Feb, 1971",4:47:50,TRUE,FALSE,FALSE,31/01/1971,Apollo 14,Moon
Apollo 14,Alan Shepard,17,"6 Feb, 1971","6 Feb, 1971",4:34:41,TRUE,FALSE,FALSE,31/01/1971,Apollo 14,Moon
Apollo 14,Edgar Mitchell,17,"6 Feb, 1971","6 Feb, 1971",4:34:41,TRUE,FALSE,FALSE,31/01/1971,Apollo 14,Moon
Apollo 15,David Scott,18,"31 Jul, 1971","31 Jul, 1971",0:33:07,FALSE,TRUE,FALSE,26/07/1971,Apollo 15,Moon
